Date,Open,High,Low,Close,Volume
2020-08-16 19:00:00,434.44,446.15,420.13,430.7,1511.7649277
2020-08-17 19:00:00,430.7,433.65,415.72,422.0,1112.20734009
2020-08-18 19:00:00,423.17,426.38,393.95,405.67,2791.24756299
2020-08-19 19:00:00,409.0,419.73,403.9,416.42,1006.46759492
2020-08-20 19:00:00,416.65,416.65,382.54,386.58,2219.47674811
2020-08-21 19:00:00,387.61,396.82,380.01,395.66,966.18850996
2020-08-22 19:00:00,395.66,397.02,383.02,392.33,3131.16664926
2020-08-23 19:00:00,390.0,410.06,389.09,407.85,809.72374527
2020-08-24 19:00:00,408.07,408.12,370.12,382.75,1494.15074527
2020-08-25 19:00:00,382.72,392.39,377.78,386.12,1177.38483738
2020-08-26 19:00:00,387.94,396.87,372.07,383.01,1203.65534567
2020-08-27 19:00:00,383.06,397.27,380.0,394.87,723.2253305
2020-08-28 19:00:00,394.05,405.68,392.31,398.58,741.58519421
2020-08-29 19:00:00,398.58,429.14,398.58,429.14,1218.17152294
2020-08-30 19:00:00,429.07,438.69,419.07,437.32,1382.37266042
2020-08-31 19:00:00,432.94,488.62,431.77,475.46,4265.81119295
2020-09-01 19:00:00,475.8,480.85,420.8,441.89,2896.48135345
2020-09-02 19:00:00,445.01,449.21,372.0,382.95,4999.18417068
2020-09-03 19:00:00,383.4,400.0,360.0,387.37,5357.50619586
2020-09-04 19:00:00,385.01,393.16,311.85,334.2,8206.10453641
2020-09-05 19:00:00,332.11,360.14,317.0,354.61,1873.21760609
2020-09-06 19:00:00,353.49,358.24,293.11,352.83,5710.15029763
2020-09-07 19:00:00,354.48,356.49,325.0,337.83,3572.1377373
2020-09-08 19:00:00,336.27,358.08,331.91,351.75,2290.83152639
2020-09-09 19:00:00,354.04,377.94,354.04,367.43,3311.78025282
2020-09-10 19:00:00,368.95,374.37,357.81,374.18,1765.95733309
2020-09-11 19:00:00,371.39,387.66,366.12,385.69,1924.4668948
2020-09-12 19:00:00,387.09,390.11,353.0,365.96,2422.26107937
2020-09-13 19:00:00,364.3,383.99,357.66,376.54,4459.35216295
2020-09-14 19:00:00,377.83,382.04,362.82,364.53,3369.40956173
2020-09-15 19:00:00,362.91,372.04,355.34,364.89,1595.64205905
2020-09-16 19:00:00,363.17,394.24,363.16,388.74,7413.68504517
2020-09-17 19:00:00,390.0,391.67,374.0,383.23,1251.51100005
2020-09-18 19:00:00,382.7,388.36,378.66,385.63,527.75009578
2020-09-19 19:00:00,385.13,385.13,365.57,371.22,4919.86450651
2020-09-20 19:00:00,370.32,375.96,330.0,340.61,4055.76488287
2020-09-21 19:00:00,339.6,347.79,335.4,343.39,1463.67781276
2020-09-22 19:00:00,342.82,343.01,300.0,320.12,1956.25536926
2020-09-23 19:00:00,320.83,352.33,316.95,348.86,2853.30910737
2020-09-24 19:00:00,348.73,358.2,337.97,351.49,1686.0687934
2020-09-25 19:00:00,351.95,355.42,346.6,354.91,2048.14947222
2020-09-26 19:00:00,354.26,361.73,347.5,357.2,798.1196847
2020-09-27 19:00:00,357.99,367.51,352.13,354.38,1238.60122941
2020-09-28 19:00:00,353.5,360.3,350.42,359.61,1707.62187641
2020-09-29 19:00:00,358.49,361.04,352.05,359.71,755.27282538
2020-09-30 19:00:00,360.63,369.12,330.0,351.49,4234.42654644
2020-10-01 19:00:00,352.14,353.62,334.51,345.93,2017.4591011
2020-10-02 19:00:00,345.3,351.08,344.26,346.8,646.53056463
2020-10-03 19:00:00,345.06,354.92,344.13,352.38,1410.19085298
