,Close
430,3587.68
431,3591.05
432,3599.13
433,3605.37
434,3622.33
435,3602.9
436,3602.91
437,3592.58
438,3623.48
439,3618.25
440,3625.54
441,3646.79
442,3646.1
443,3642.94
444,3641.12
445,3636.47
446,3640.25
447,3637.04
448,3634.66
449,3642.64
450,3637.09
451,3638.17
452,3635.81
453,3650.54
454,3644.39
455,3635.37
456,3642.24
457,3639.22
458,3642.6
459,3637.11
460,3626.01
461,3623.47
462,3627.96
463,3631.33
464,3629.68
465,3631.8
466,3634.5
467,3647.1
468,3638.59
469,3641.95
470,3637.95
471,3625.66
472,3631.27
473,3634.81
474,3632.6
475,3639.42
476,3641.24
477,3639.06
478,3708.65
479,3738.34
480,3743.31
481,3734.82
482,3753.82
483,3743.13
484,3739.32
485,3733.67
486,3732.32
487,3753.01
488,3777.65
489,3768.45
490,3793.57
491,3785.61
492,3784.65
493,3794.26
494,3792.09
495,3818.6
496,3807.14
497,3805.24
498,3799.51
499,3789.05
500,3781.59
501,3785.0
502,3794.68
503,3807.42
504,3797.64
505,3796.0
506,3772.7
507,3757.03
508,3785.01
509,3800.0
510,3782.69
511,3771.11
512,3782.96
513,3789.72
514,3777.75
515,3767.23
516,3763.18
517,3758.6
518,3756.28
519,3765.91
520,3769.9
521,3775.01
522,3776.88
523,3764.65
524,3768.99
525,3785.28
526,3793.0
527,3770.01
528,3795.51
529,3787.66
530,3784.06
531,3769.04
532,3763.13
533,3761.55
534,3748.0
535,3748.12
536,3745.71
537,3745.71
538,3742.17
539,3783.97
540,3811.84
541,3831.53
542,3819.92
543,3818.68
544,3821.86
545,3819.38
546,3801.89
547,3814.28
548,3802.77
549,3820.52
550,3825.21
551,3835.42
552,3845.6
553,3847.63
554,3840.57
555,3838.97
556,3823.98
557,3825.0
558,3819.2
559,3808.62
560,3819.42
561,3811.26
562,3795.22
563,3769.76
564,3782.09
565,3764.22
566,3759.31
567,3764.86
568,3769.46
569,3783.02
570,3766.2
571,3762.59
572,3765.4
573,3781.72
574,3791.64
575,3785.82
576,3784.16
577,3781.24
578,3774.75
579,3781.56
580,3780.4
581,3770.02
582,3771.93
583,3800.35
584,3804.45
585,3817.7
586,3820.52
587,3805.61
588,3807.66
589,3809.36
590,3800.22
591,3794.02
592,3795.22
593,3789.36
594,3803.21
595,3812.65
596,3845.97
597,3861.0
598,3863.98
599,3856.13
600,3867.0
601,3855.1
602,3861.22
603,3871.72
604,3887.51
605,3877.7
606,3855.25
607,3853.04
608,3846.0
609,3850.4
610,3857.16
611,3894.3
612,3883.98
613,3880.92
614,3872.5
615,3851.64
616,3867.68
617,3840.09
618,3840.49
619,3847.46
620,3846.22
621,3851.99
622,3844.83
623,3857.37
624,3864.74
625,3865.26
626,3862.46
627,3851.94
628,3851.34
629,3844.72
630,3849.8
631,3848.37
632,3827.97
633,3836.17
634,3825.7
635,3839.56
636,3847.59
637,3852.45
638,3844.32
639,3849.04
640,3839.34
641,3839.15
642,3851.09
643,3847.81
644,3841.52
645,3842.96
646,3846.41
647,3862.27
648,3855.0
649,3857.2
650,3858.11
651,3858.76
652,3854.52
653,3850.0
654,3844.03
655,3841.43
656,3837.88
657,3849.71
658,3882.33
659,3918.22
660,3918.5
661,3938.75
662,3934.45
663,3924.33
664,3914.62
665,3933.23
666,3931.73
667,3932.19
668,3940.79
669,3936.62
670,3929.45
671,3930.97
672,3937.11
673,3962.33
674,3941.98
675,3945.38
676,3917.98
677,3896.83
678,3908.52
679,3900.93
680,3909.39
681,3914.42
682,3921.31
683,3920.84
684,3907.2
685,3899.15
686,3895.83
687,3898.44
688,3916.21
689,3907.54
